antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'youtuber'}),frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'youtuber'}),frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),frozenset({'youtuber'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'category'}),frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),frozenset({'category'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'title'}),frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),frozenset({'country'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'country'}),frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'abbreviation'}),frozenset({'channel_type'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'channel_type'}),frozenset({'abbreviation'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'youtuber', 'category'})",frozenset({'title'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
