rank,youtuber,subscribers,video_views,category,title,uploads,country,abbreviation,channel_type,video_views_rank,country_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,gross_tertiary_education_enrollment,population,unemployment_rate,urban_population,created_at
818,123 GO! Spanish,13800000,5019136690.0,People & Blogs,123 GO! Spanish,520,Mexico,MX,Howto,1361.0,30.0,26519000.0,6600.0,106100.0,79600.0,1300000.0,100000.0,88.2,126014024.0,3.42,102626859.0,2019-03-13
17,5-Minute Crafts,80100000,26236790209.0,Howto & Style,5-Minute Crafts 2.0,1,United Kingdom,GB,Entertainment,4057901.0,4797.0,1.0,0.0,0.0,0.0,0.05,668937.1359160785,88.2,66834405.0,3.85,55908316.0,2020-07-27
366,5-Minute Crafts DIY,20700000,5091618606.0,Howto & Style,5-Minute Crafts DIY,5062,United States,US,Howto,1334.0,103.0,20012000.0,5000.0,80000.0,60000.0,960600.0,349230.99295548035,88.2,328239523.0,14.7,270663028.0,2018-01-18
628,5-Minute Crafts FAMILY,15600000,6165757696.0,People & Blogs,5-Minute Crafts FAMILY,4245,United States,US,Howto,1005.0,145.0,27382000.0,6800.0,109500.0,82100.0,1300000.0,253810.36628794146,88.2,328239523.0,14.7,270663028.0,2018-12-13
398,5-Minute Crafts PLAY,20100000,6119294270.0,Howto & Style,5-Minute Crafts PLAY,5491,United States,US,Howto,1014.0,108.0,105784000.0,26400.0,423100.0,317400.0,5100000.0,100000.0,88.2,328239523.0,14.7,270663028.0,2017-10-30
714,5-Minute Crafts Recycle,14800000,8866012877.0,People & Blogs,5-Minute Crafts Recycle,3867,United States,US,Howto,554.0,153.0,53181000.0,13300.0,212700.0,159500.0,2600000.0,241400.96638823027,88.2,328239523.0,14.7,270663028.0,2019-06-07
694,50 Cent,14900000,10069000444.0,Music,50 Cent,419,United States,US,Music,435.0,152.0,119812000.0,30000.0,479200.0,359400.0,5800000.0,100000.0,88.2,328239523.0,14.7,270663028.0,2007-02-08
910,7 Minutoz,13000000,4349562794.0,Music,7 Minutoz,521,Brazil,BR,Music,1692.0,51.0,29526000.0,7400.0,118100.0,88600.0,1400000.0,200787.65722980638,88.2,212559417.0,12.08,183241641.0,2012-06-04
397,7clouds,20100000,14816075927.0,Music,7clouds,2384,United States,US,Music,227.0,108.0,276751000.0,69200.0,1100000.0,830300.0,13300000.0,300000.0,88.2,328239523.0,14.7,270663028.0,2013-05-25
693,A2 Motivation by Arvind Arora,15000000,8932038210.0,Entertainment,A2 Motivation by Arvind Arora,3168,India,IN,Entertainment,544.0,104.0,130731000.0,32700.0,522900.0,392200.0,6300000.0,200000.0,94.3,1366417754.0,5.36,471031528.0,2017-04-07
724,ABC News,14700000,12961669452.0,News & Politics,ABC News,80830,United States,US,News,289.0,154.0,185709000.0,46400.0,742800.0,557100.0,8900000.0,100000.0,88.2,328239523.0,14.7,270663028.0,2006-08-07
96,ABP NEWS,37000000,13102611515.0,People & Blogs,ABP NEWS,301308,India,IN,News,280.0,25.0,267060000.0,66800.0,1100000.0,801200.0,12800000.0,400000.0,94.3,1366417754.0,5.36,471031528.0,2012-06-01
61,ABS-CBN Entertainment,44200000,50292540392.0,People & Blogs,ABS-CBN Entertainment,193890,Philippines,PH,Entertainment,16.0,1.0,176629000.0,44200.0,706500.0,529900.0,8500000.0,300000.0,88.2,108116615.0,2.15,50975903.0,2008-07-16
674,ABS-CBN News,15100000,10489367372.0,News & Politics,ABS-CBN News,209520,Philippines,PH,News,404.0,7.0,181644000.0,45400.0,726600.0,544900.0,8700000.0,100000.0,88.2,108116615.0,2.15,50975903.0,2009-10-22
808,ADEL et SAMI,13900000,5465532801.0,Entertainment,ADEL et SAMI,503,United States,US,Entertainment,1200.0,161.0,26883000.0,6700.0,107500.0,80600.0,1300000.0,219977.55235752792,88.2,328239523.0,14.7,270663028.0,2018-03-12
